ResourceProvider,ResourceType,Description,Operation
Microsoft.AAD,DomainServices,Delete Domain Service,Microsoft.AAD/domainServices/delete
Microsoft.AAD,DomainServices,Read Domain Services,Microsoft.AAD/domainServices/read
Microsoft.AAD,DomainServices,Write Domain Service,Microsoft.AAD/domainServices/write
Microsoft.AAD,DomainServices/oucontainer,Delete Ou Container,Microsoft.AAD/domainServices/oucontainer/delete
Microsoft.AAD,DomainServices/oucontainer,Read Ou Containers,Microsoft.AAD/domainServices/oucontainer/read
Microsoft.AAD,DomainServices/oucontainer,Write Ou Container,Microsoft.AAD/domainServices/oucontainer/write
Microsoft.AAD,locations/operationresults,no Description given,Microsoft.AAD/locations/operationresults/read
Microsoft.AAD,none,Register Domain Service,Microsoft.AAD/register/action
Microsoft.AAD,none,Unregister Domain Service,Microsoft.AAD/unregister/action
Microsoft.AAD,operations,no Description given,Microsoft.AAD/Operations/read
microsoft.aadiam,azureADMetrics,Delete Azure AD Metrics Definition,microsoft.aadiam/azureADMetrics/delete
microsoft.aadiam,azureADMetrics,Read Azure AD Metrics Definition,microsoft.aadiam/azureADMetrics/read
microsoft.aadiam,azureADMetrics,Create and Update Azure AD Metrics Definition,microsoft.aadiam/azureADMetrics/write
microsoft.aadiam,diagnosticSettings,Deleting a diagnostic setting,microsoft.aadiam/diagnosticsettings/delete
microsoft.aadiam,diagnosticSettings,Reading a diagnostic setting,microsoft.aadiam/diagnosticsettings/read
microsoft.aadiam,diagnosticSettings,Writing a diagnostic setting,microsoft.aadiam/diagnosticsettings/write
microsoft.aadiam,diagnosticSettingsCategories,Reading a diagnostic setting categories,microsoft.aadiam/diagnosticsettingscategories/read
microsoft.aadiam,none,Reading Tenant-Level Metric Definitions,microsoft.aadiam/metricDefinitions/read
microsoft.aadiam,none,Reading Tenant-Level Metrics,microsoft.aadiam/metrics/read
microsoft.aadiam,operations,n/a,n/a
microsoft.aadiam,privateLinkForAzureAD,Create and Update Private Link Policy Definition,microsoft.aadiam/privateLinkForAzureAD/write
microsoft.aadiam,privateLinkForAzureAD,Delete Private Link Policy Definition,microsoft.aadiam/privateLinkForAzureAD/delete
microsoft.aadiam,privateLinkForAzureAD,Read Private Link Policy Definition,microsoft.aadiam/privateLinkForAzureAD/read
microsoft.aadiam,privateLinkForAzureAD,Delete Private Link Proxies,microsoft.aadiam/privateLinkForAzureAD/privateEndpointConnectionProxies/delete
microsoft.aadiam,privateLinkForAzureAD,Read Private Link Proxies,microsoft.aadiam/privateLinkForAzureAD/privateEndpointConnectionProxies/read
microsoft.aadiam,privateLinkForAzureAD,Validate Private Link Proxies,microsoft.aadiam/privateLinkForAzureAD/privateEndpointConnectionProxies/validate/action
microsoft.aadiam,privateLinkForAzureAD,Create and Update PrivateEndpointConnections,microsoft.aadiam/privateLinkForAzureAD/privateEndpointConnections/write
microsoft.aadiam,privateLinkForAzureAD,Delete PrivateEndpointConnections,microsoft.aadiam/privateLinkForAzureAD/privateEndpointConnections/delete
microsoft.aadiam,privateLinkForAzureAD,Read PrivateEndpointConnections,microsoft.aadiam/privateLinkForAzureAD/privateEndpointConnections/read
microsoft.aadiam,privateLinkForAzureAD,Create and Update PrivateLinkResources,microsoft.aadiam/privateLinkForAzureAD/privateLinkResources/write
microsoft.aadiam,privateLinkForAzureAD,Delete PrivateLinkResources,microsoft.aadiam/privateLinkForAzureAD/privateLinkResources/delete
microsoft.aadiam,privateLinkForAzureAD,Read PrivateLinkResources,microsoft.aadiam/privateLinkForAzureAD/privateLinkResources/read
microsoft.aadiam,tenants,n/a,n/a
Microsoft.Addons,none,Register the specified subscription with Microsoft.Addons,Microsoft.Addons/register/action
Microsoft.Addons,operationResults,n/a,n/a
Microsoft.Addons,operations,Gets supported RP operations.,Microsoft.Addons/operations/read
Microsoft.Addons,supportProviders,Lists current support plan information for the specified subscription.,Microsoft.Addons/supportProviders/listsupportplaninfo/action
Microsoft.Addons,supportProviders,Adds the Canonical support plan type specified.,Microsoft.Addons/supportProviders/supportPlanTypes/write
Microsoft.Addons,supportProviders,Get the specified Canonical support plan state.,Microsoft.Addons/supportProviders/supportPlanTypes/read
Microsoft.Addons,supportProviders,Removes the specified Canonical support plan,Microsoft.Addons/supportProviders/supportPlanTypes/delete
Microsoft.ADHybridHealthService,aadsupportcases,n/a,n/a
Microsoft.ADHybridHealthService,addsservices,During server registration of ADDomainService, this api is called to get the credentials for onboarding new servers.
Microsoft.ADHybridHealthService,addsservices,Add a server instance to the service.,Microsoft.ADHybridHealthService/addsservices/servicemembers/action
Microsoft.ADHybridHealthService,addsservices,Creates or Updates the ADDomainService instance for the tenant.,Microsoft.ADHybridHealthService/addsservices/write
Microsoft.ADHybridHealthService,addsservices,Deletes a server for a given service and tenant.,Microsoft.ADHybridHealthService/addsservices/servicemembers/delete
Microsoft.ADHybridHealthService,addsservices,Deletes a Service and it's servers along with Health data.,Microsoft.ADHybridHealthService/addsservices/delete
Microsoft.ADHybridHealthService,addsservices,Gets alerts details for the forest like alertid, alert raised date
Microsoft.ADHybridHealthService,addsservices,Gets all servers for the specified service name.,Microsoft.ADHybridHealthService/addsservices/addomainservicemembers/read
Microsoft.ADHybridHealthService,addsservices,Gets complete domain controller list along with replication details for the given forest.,Microsoft.ADHybridHealthService/addsservices/replicationsummary/read
Microsoft.ADHybridHealthService,addsservices,Gets forest summary for the given forest like forest name, number of domains under this forest
Microsoft.ADHybridHealthService,addsservices,Given a service, this API gets the metrics information.For example
Microsoft.ADHybridHealthService,addsservices,This API gets the list of all onboarded ADDomainServices for a premium tenant.,Microsoft.ADHybridHealthService/addsservices/premiumcheck/read
Microsoft.ADHybridHealthService,addsservices,Gets replication details for all the servers for the specified service name.,Microsoft.ADHybridHealthService/addsservices/replicationdetails/read
Microsoft.ADHybridHealthService,addsservices,Gets the number of domain controllers and their replication errors if any.,Microsoft.ADHybridHealthService/addsservices/replicationstatus/read
Microsoft.ADHybridHealthService,addsservices,Gets Service Configuration for the forest. Example- Forest Name, Functionla Level
Microsoft.ADHybridHealthService,addsservices,Gets Service details for the specified service name.,Microsoft.ADHybridHealthService/addsservices/read
Microsoft.ADHybridHealthService,addsservices,Gets the domains and sites details for the forest. Example- health status, active alerts
Microsoft.ADHybridHealthService,addsservices,Gets the list of supported metrics for a given service. For example Extranet Account Lockouts, Total Failed Requests
Microsoft.ADHybridHealthService,addsservices,Gets the user preference setting for the forest. Example- MetricCounterName like ldapsuccessfulbinds, ntlmauthentications
Microsoft.ADHybridHealthService,addsservices,Create a new forest for the tenant.,Microsoft.ADHybridHealthService/addsservices/action
Microsoft.ADHybridHealthService,agents,n/a,n/a
Microsoft.ADHybridHealthService,anonymousapiusers,n/a,n/a
Microsoft.ADHybridHealthService,configuration,Updates Tenant Configuration.,Microsoft.ADHybridHealthService/configuration/action
Microsoft.ADHybridHealthService,configuration,Creates a Tenant Configuration.,Microsoft.ADHybridHealthService/configuration/write
Microsoft.ADHybridHealthService,configuration,Reads the Tenant Configuration.,Microsoft.ADHybridHealthService/configuration/read
Microsoft.ADHybridHealthService,logs,Gets agent installation and registration logs for the tenant.,Microsoft.ADHybridHealthService/logs/read
Microsoft.ADHybridHealthService,logs,Gets the content of agent installation and registration logs stored in blob.,Microsoft.ADHybridHealthService/logs/contents/read
Microsoft.ADHybridHealthService,none,Registers the ADHybrid Health Service Resource Provider and enables the creation of ADHybrid Health Service resource.,Microsoft.ADHybridHealthService/register/action
Microsoft.ADHybridHealthService,none,Unregisters the subscription for ADHybrid Health Service Resource Provider.,Microsoft.ADHybridHealthService/unregister/action
Microsoft.ADHybridHealthService,operations,Gets list of operations supported by system.,Microsoft.ADHybridHealthService/operations/read
Microsoft.ADHybridHealthService,reports,Gets a value indicating wheather the teannt is DevOps Consented or not.,Microsoft.ADHybridHealthService/reports/isdevops/read
Microsoft.ADHybridHealthService,reports,Gets list of available regions, used by DevOps to support customer incidents.
Microsoft.ADHybridHealthService,reports,Gets selected deployment for the given tenant.,Microsoft.ADHybridHealthService/reports/selecteddeployment/read
Microsoft.ADHybridHealthService,reports,Given a tenant id gets the tenant storage location.,Microsoft.ADHybridHealthService/reports/tenantassigneddeployment/read
Microsoft.ADHybridHealthService,reports,Gets the geo location from which data will be accessed.,Microsoft.ADHybridHealthService/reports/updateselecteddeployment/read
Microsoft.ADHybridHealthService,reports,Gets the list of bad password attempts for all the users in Active Directory Federation Service.,Microsoft.ADHybridHealthService/reports/badpassword/read
Microsoft.ADHybridHealthService,reports,Gets the list of DevOps consented tenants. Typically used for customer support.,Microsoft.ADHybridHealthService/reports/consentedtodevopstenants/read
Microsoft.ADHybridHealthService,reports,Updates userid(objectid) for the selected dev ops tenant.,Microsoft.ADHybridHealthService/reports/selectdevopstenant/read
Microsoft.ADHybridHealthService,reports,Gets Blob SAS URI containing status and eventual result of newly enqueued report job for frequency of Bad Username/Password attempts per UserId per IPAddress per Day for a given Tenant.,Microsoft.ADHybridHealthService/reports/badpassworduseridipfrequency/read
Microsoft.ADHybridHealthService,servicehealthmetrics,n/a,n/a
Microsoft.ADHybridHealthService,services,Reads the alerts for a server.,Microsoft.ADHybridHealthService/services/servicemembers/alerts/read
Microsoft.ADHybridHealthService,services,Reads the alerts for a service.,Microsoft.ADHybridHealthService/services/alerts/read
Microsoft.ADHybridHealthService,services,Updates a service instance in the tenant.,Microsoft.ADHybridHealthService/services/action
Microsoft.ADHybridHealthService,services,Deletes a server instance in the service.,Microsoft.ADHybridHealthService/services/servicemembers/delete
Microsoft.ADHybridHealthService,services,Gets feature whitelisting status for a given tenant.,Microsoft.ADHybridHealthService/services/tenantwhitelisting/read
Microsoft.ADHybridHealthService,services,Given a feature name verifies if a service has everything required to use that feature.,Microsoft.ADHybridHealthService/services/checkservicefeatureavailibility/read
Microsoft.ADHybridHealthService,services,Given a service, this API gets the metrics information.For example
Microsoft.ADHybridHealthService,services,Gets service configuration for a given tenant.,Microsoft.ADHybridHealthService/services/servicemembers/serviceconfiguration/read
Microsoft.ADHybridHealthService,services,During server registration, this api is called to get the credentials for onboarding new servers.
Microsoft.ADHybridHealthService,services,For a given server, this API gets a list of  datatypes that are being uploaded by the servers and the latest time for each upload.
Microsoft.ADHybridHealthService,services,Gets the export errors for a given sync service.,Microsoft.ADHybridHealthService/services/exporterrors/read
Microsoft.ADHybridHealthService,services,Gets the export status for a given service.,Microsoft.ADHybridHealthService/services/exportstatus/read
Microsoft.ADHybridHealthService,services,Gets the list of connectors and run profile names for the given service and service member.,Microsoft.ADHybridHealthService/services/servicemembers/metrics/read
Microsoft.ADHybridHealthService,services,Gets the Sync Export Error details for a given Sync Service.,Microsoft.ADHybridHealthService/services/servicemembers/exportstatus/read
